label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,18 - Bob Dylan & The Band - Apple Suckling Tree (Take 1).wav,d7cc4a23ff0245f96cbde907957caead,4,18,160.54666666666665,02:40:547,-17.847147746391126,-17.982598118320627,-17.308630876259496,-0.6739672420611313,0.1190045103430748,0.11807341128587723,0.12529656291007996,-0.007223151624202728,0.9076006660941861,2312.09300919187
CAR,04-18-Bob_Dylan-Apple_Suckling_Tree_Take_1-SMR.flac,ec8401e9da37015e91c5cef2186f87eb,4,18,160.39965986394557,02:40:400,-17.84263326995848,-17.978236309540115,-17.303966764584914,-0.6742695449552016,0.11911657452583313,0.11818253993988037,0.12541581690311432,-0.007233276963233948,0.9076008620773457,2187.969119758798
ATWR,25 Apple Suckling Tree - Take 1.flac,1355e15cee3bc91c1a08059663dea803,4,25,159.22666666666666,02:39:227,-18.2109492194235,-13.844880467969434,-18.741032554584965,4.8961520866155315,0.11875048279762268,0.19749511778354645,0.09991040825843811,0.09758470952510834,0.17346277802782756,2463.7066631481393
MUTM,15 Apple Suckling Tree.flac,fea7ed58a1843432a7af4589b4c1c6e8,1,15,158.61333333333334,02:38:613,-17.9261608625338,-13.297340264901909,-18.741971514512844,5.444631249610936,0.11581137031316757,0.19803676009178162,0.09211183339357376,0.10592492669820786,0.12841159008896,2340.107474658386
TGBT,2-06 Apple Suckling Tree (Version 1).flac,354cc20f68d81b34db50802e2adc55d3,2,6,161.49333333333334,02:41:493,-17.198349855791808,-12.564103950652088,-18.485580678555344,5.921476727903256,0.13326042890548706,0.22910632193088531,0.10029744356870651,0.1288088783621788,0.17248277316615865,2415.5074910456615
CBST,Dylan & Band - Safety Tape_Track15.flac,d875cffc34b7ba5c529d705cd9cad70d,1,15,159.04,02:39:040,-18.089550206673255,-13.576647660360008,-18.57046393906026,4.993816278700253,0.11543344706296921,0.19499507546424866,0.0955233946442604,0.09947168081998825,0.12994642108059157,2006.3579527501581
DITB,08 Apple Suckling Tree.flac,4b5dade86fa06b0b46cb4943b4a103a2,1,8,157.66666666666666,02:37:667,-19.018359952175086,-16.51341647104774,-17.35919402843213,0.8457775573843911,0.10497283190488815,0.14409583806991577,0.11991956830024719,0.02417626976966858,0.2797333445327416,1760.0427782023723
FTR,23. Apple Suckling Tree.flac,0d63392ffa06cc03f322152d61ed1364,5,23,159.26666666666668,02:39:267,-21.91992393702479,-17.9029927718805,-20.060306765488885,2.157313993608387,0.06037095561623573,0.09310510009527206,0.057522304356098175,0.03558279573917389,0.0945103159591829,2109.43795163477
FTR,11. Apple Suckling Tree.flac,92ae564ba876ddd4826975c7f89e7d6f,9,11,152.12,02:32:120,-21.267940781426958,-22.307433909397037,-20.295568794035653,-2.0118651153613847,0.08188939839601517,0.07257849723100662,0.09147604554891586,-0.01889754831790924,0.9945169958267142,1357.7904260965986
FTR,21. Apple Suckling Tree.flac,f34d04b14dbff3ca6b00b32dd53d4f61,10,21,128.92,02:08:920,-16.915623891883218,-19.089845866577015,-15.026849501357072,-4.062996365219943,0.128459170460701,0.09951183944940567,0.15918436646461487,-0.0596725270152092,0.966815012830469,1072.6508454213833
FTR,24. Apple Suckling Tree.flac,4d3d027a96dd4c33ebfe4cd6e3d57f42,10,24,151.77333333333334,02:31:773,-17.038729145617875,-19.350409039718134,-15.028379627928912,-4.322029411789222,0.14028236269950867,0.10841336101293564,0.17447848618030548,-0.06606512516736984,0.9616658544657363,1258.206378427019
CB,23 Apple Suckling Tree - 1.flac,10a98889f9f00210db3364cfac6345d5,5,23,159.26666666666668,02:39:267,-21.91972111741565,-20.044280863004527,-17.897749159830934,-2.1465317031735935,0.06036914512515068,0.05751572549343109,0.09310566633939743,-0.03558994084596634,0.09450962144413387,2108.6208038073128
CB,22D Apple Suckling Tree T1.flac,98934af68d8332741e68a2add074d282,7,24,152.12,02:32:120,-21.270816263274888,-22.31300790354573,-20.2957309270253,-2.0172769765204315,0.08189141005277634,0.07258030027151108,0.09147825092077255,-0.018897950649261475,0.9945170364302927,1357.6836374526042
CB,21 Apple Suckling Tree - 1.flac,afa03a090cc8e38b08cc3e4b8c0a4403,9,25,131.14666666666668,02:11:147,-18.255179595505858,-20.243575284555586,-16.448341269875517,-3.7952340146800694,0.1076771467924118,0.08507964015007019,0.13210439682006836,-0.04702475666999817,0.9611969202334484,1271.2462895531019
CB,24 Apple Suckling Tree - 4.flac,1b2c53e2f25a3e48e4ab7bd65cd390c5,9,26,151.34666666666666,02:31:347,-18.213944646248844,-20.425442671788545,-16.21363581737621,-4.211806854412334,0.12208583950996399,0.09591713547706604,0.1505928337574005,-0.05467569828033447,0.9557121015429506,1352.489948190713
