label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,14 - Bob Dylan - Crash On The Levee (Take 2).wav,a50dd5e70b107e68e814de660d42d9d2,3,14,125.72,02:05:720,-16.116599931634177,-15.86084673185169,-15.797077175471296,-0.06376955638039483,0.1411183774471283,0.1550562083721161,0.13260258734226227,0.02245362102985382,0.8808588890028474,2024.1822335366571
CAR,03-14-Bob_Dylan-Crash_on_the_Levee_Take_2-SMR.flac,0aa782abca4f3b5d496fb251fb849a29,3,14,125.71131519274377,02:05:711,-16.126426988799953,-15.864041322509076,-15.80371432307687,-0.06032699943220621,0.1411244124174118,0.1550651639699936,0.13260705769062042,0.02245810627937317,0.8808588389600843,1879.5689806292708
ATWR,19 Crash On The Levee - Take 2.flac,3065b0534458c4d6b93190baf7d112ff,3,19,126.29333333333334,02:06:293,-18.26650632112337,-17.435907716564586,-18.562540952161548,1.1266332355969624,0.11087873578071594,0.12878921627998352,0.09747578948736191,0.03131342679262161,0.8706566632578576,1731.2080806280753
MUTM,05 Down In The Flood.flac,480b86a67a278f4091862f51295faada,1,5,123.61333333333333,02:03:613,-19.2915504333533,-15.885067274945857,-16.187588482107287,0.30252120716142983,0.10309568047523499,0.11490150541067123,0.15451061725616455,-0.03960911184549332,0.004882980611851448,1658.960424064801
RSD,04 Crash On The Levee.flac,16d8cb4f6543be9f6415bb4cdcd72a7a,1,1,125.81301587301587,02:05:813,-21.626469676672823,-21.626469676672823,-21.626469676672823,0.0,0.0749397873878479,0.0749397873878479,0.0749397873878479,0.0,1.0,1829.892461795143
TGBT,07 Crash On The Levee #2.flac,192a5f5ae713d4ecef4a229b39ad47dd,3,7,127.4,02:07:400,-15.384984398664264,-15.413824235715051,-15.3505314509091,-0.06329278480595057,0.15625718235969543,0.15516085922718048,0.15739186108112335,-0.002231001853942871,0.9994226416839738,2220.738192519522
CBST,Dylan & Band - Safety Tape_Track05.flac,f27dafdcf873b613ede9cac8f0b9c96a,1,5,122.8,02:02:800,-19.0733426987815,-15.618144943606797,-15.982235659664946,0.3640907160581488,0.1073317900300026,0.11976447701454163,0.16065764427185059,-0.04089316725730896,0.004932631183632859,1332.6656272447976
FTR,18. Crash on the Levee.flac,4e05235efba8231bfcc347208f115532,5,18,122.65333333333334,02:02:653,-28.582607084693812,-22.08758325959808,-29.172332438341165,7.084749178743085,0.02654350735247135,0.03274012356996536,0.03360123559832573,-0.0008611120283603668,0.02800118341939638,1750.8349970042657
FTR,04. Crash on the Levee.flac,517ff3933ef279e07664343ccbc7a7f9,7,4,127.94666666666667,02:07:947,-21.274927725785627,-22.85683609923618,-19.774266166040835,-3.0825699331953444,0.08906809985637665,0.0737752690911293,0.10577662289142609,-0.03200135380029678,0.976642140784225,917.6299007683451
FTR,18. Crash on the Levee.flac,16ad5025173fdf32fe19bae278ac4a4f,8,18,119.56,01:59:560,-17.82761444892738,-19.73128594012786,-16.218297899907604,-3.5129880402202573,0.13141310214996338,0.1051139086484909,0.15832555294036865,-0.05321164429187775,0.9912779686302386,616.0455029510607
FTR,17. Crash on the Levee.flac,dfa8b791ec1b5b2a244e8fe6652f07eb,9,17,123.84,02:03:840,-22.03367470637075,-23.136801974487536,-21.040688952908628,-2.0961130215789083,0.08422163873910904,0.07410375028848648,0.09443626552820206,-0.020332515239715576,0.9983173609824619,1300.5151500893653
CB,18 Down in the Flood.flac,0cccdb45f205782b8c62af73dd316905,5,18,122.65333333333334,02:02:653,-28.557725093167104,-29.175633312217812,-22.05475444303362,-7.120878869184192,0.026545945554971695,0.03360668942332268,0.03273981809616089,0.0008668713271617889,0.02800112165879617,1750.5969106259415
CB,04 Down in the Flood.flac,3996927feba8f32eaac5a6edb0acf374,7,19,127.94666666666667,02:07:947,-21.274908008964644,-22.85349602126012,-19.774251878574024,-3.079244142686097,0.08906613290309906,0.07377414405345917,0.10577407479286194,-0.03199993073940277,0.9766420235922676,917.5447273383696
