,BS11,CAR,ATWR,MUTM,SBD,RSD,TGBT,DITB,FTR,FTR
BS11,0.99999976,0.9999991,0.9973195,0.99752575,0.9973769,0.99519145,0.99518484,0.9581393,0.99728525,0.88859326
CAR,0.9999991,0.9999999,0.99732023,0.9975228,0.9973832,0.9951719,0.99516904,0.9579834,0.9972905,0.88831705
ATWR,0.9973195,0.99732023,1.0,0.9998845,0.9987757,0.99688816,0.99796236,0.96729004,0.9949843,0.901913
MUTM,0.99752575,0.9975228,0.9998845,0.99999994,0.99937385,0.9958989,0.9974219,0.96467763,0.9943915,0.89816236
SBD,0.9973769,0.9973832,0.9987757,0.99937385,0.99999994,0.99255264,0.99524575,0.95588547,0.992407,0.8846844
RSD,0.99519145,0.9951719,0.99688816,0.9958989,0.99255264,1.0000001,0.9968242,0.9785093,0.9960549,0.9241556
TGBT,0.99518484,0.99516904,0.99796236,0.9974219,0.99524575,0.9968242,0.99999994,0.97409916,0.99452853,0.9121665
DITB,0.9581393,0.9579834,0.96729004,0.96467763,0.95588547,0.9785093,0.97409916,0.99999994,0.9657199,0.9733609
FTR,0.99728525,0.9972905,0.9949843,0.9943915,0.992407,0.9960549,0.99452853,0.9657199,1.0000001,0.8976923
FTR,0.88859326,0.88831705,0.901913,0.89816236,0.8846844,0.9241556,0.9121665,0.9733609,0.8976923,0.99999994
