,BS11,CAR,ATWR,MUTM,RSD,TGBT,CBST,FTR,FTR,FTR,FTR,CB,CB
BS11,1.0000001,0.99999934,0.9949791,0.99303377,0.9904118,0.9916845,0.9941707,0.94853115,0.9462659,0.96241146,0.9743778,0.9485064,0.9462857
CAR,0.99999934,0.9999999,0.9948847,0.99292934,0.99033684,0.991798,0.99406874,0.94839233,0.94600934,0.96214104,0.97423434,0.94836766,0.94602907
ATWR,0.9949791,0.9948847,1.0,0.9996958,0.9975589,0.9768993,0.9998568,0.9687424,0.971146,0.98232865,0.9880242,0.9687269,0.97116
MUTM,0.99303377,0.99292934,0.9996958,1.0,0.9979848,0.9742189,0.99988073,0.9738403,0.9738441,0.9826689,0.99088424,0.97382635,0.97385764
RSD,0.9904118,0.99033684,0.9975589,0.9979848,1.0000001,0.97321856,0.99719954,0.97943664,0.97668386,0.97962165,0.99138653,0.9794239,0.9766964
TGBT,0.9916845,0.991798,0.9768993,0.9742189,0.97321856,1.0000002,0.97569305,0.927206,0.9110108,0.92497605,0.95599896,0.9271734,0.9110364
CBST,0.9941707,0.99406874,0.9998568,0.99988073,0.99719954,0.97569305,1.0000001,0.9704976,0.97125965,0.98216647,0.9892498,0.9704827,0.97127366
FTR,0.94853115,0.94839233,0.9687424,0.9738403,0.97943664,0.927206,0.9704976,0.99999994,0.9736642,0.9555369,0.9918458,1.0,0.9736711
FTR,0.9462659,0.94600934,0.971146,0.9738441,0.97668386,0.9110108,0.97125965,0.9736642,0.99999994,0.98701316,0.9777362,0.97366995,1.0
FTR,0.96241146,0.96214104,0.98232865,0.9826689,0.97962165,0.92497605,0.98216647,0.9555369,0.98701316,1.0000001,0.9720439,0.955536,0.9870163
FTR,0.9743778,0.97423434,0.9880242,0.99088424,0.99138653,0.95599896,0.9892498,0.9918458,0.9777362,0.9720439,1.0,0.99183995,0.97774494
CB,0.9485064,0.94836766,0.9687269,0.97382635,0.9794239,0.9271734,0.9704827,1.0,0.97366995,0.955536,0.99183995,1.0,0.97367674
CB,0.9462857,0.94602907,0.97116,0.97385764,0.9766964,0.9110364,0.97127366,0.9736711,1.0,0.9870163,0.97774494,0.97367674,1.0
