label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,06 - Bob Dylan & The Band - Tiny Montgomery.wav,027f4d21dff62da148547552d629b790,2,6,176.56,02:56:560,-17.3543221774108,-17.142507013713196,-17.095815708861313,-0.04669130485188333,0.13682717084884644,0.14563053846359253,0.13365083932876587,0.01197969913482666,0.9001335752028022,2040.9892955118294
CAR,02-06-Bob_Dylan-Tiny_Montgomery-SMR.flac,a39afb49b297c55130feea2556afb9bc,2,6,176.55596371882086,02:56:556,-17.354434467861722,-17.140276575357937,-17.09370292848077,-0.04657364687716736,0.13682150840759277,0.14562568068504333,0.133644700050354,0.011980980634689331,0.9001273623542996,1933.8080156254473
ATWR,25 Tiny Montgomery.flac,96d0acdf4df991cd59c4c53b90d19ddd,2,25,173.90666666666667,02:53:907,-18.200180387658882,-15.620539542922407,-14.42648803460356,-1.1940515083188465,0.12438526749610901,0.17913325130939484,0.1689108908176422,0.010222360491752625,-0.05176535666377315,1979.6390704232047
MUTM,20 Tiny Montgomery.flac,31bba4ad93f409d5ecf901838f4b9b69,1,20,177.12,02:57:120,-16.797742163873362,-13.050006454641586,-14.162616023989717,1.1126095693481304,0.14382226765155792,0.1946140080690384,0.20821712911128998,-0.013603121042251587,-0.05402223800457219,1946.872542272098
SBD,17 Tiny Montgomery.flac,6b8e2ea5c9480cfae495767be024edd2,1,17,174.8,02:54:800,-16.293504045970565,-13.651691923276852,-12.552093079659322,-1.09959884361753,0.15443524718284607,0.22322165966033936,0.20894551277160645,0.01427614688873291,-0.05219803188732479,1955.0853752269209
RSD,06 Tiny Montgomery.flac,02a1feed3afd835d3f45423edb4be86e,1,1,176.7167573696145,02:56:717,-20.078897844911243,-20.078897844911243,-20.078897844911243,0.0,0.0999787300825119,0.0999787300825119,0.0999787300825119,0.0,1.0,1861.018575334986
TGBT,11 Tiny Montgomery.flac,d73a5fa8499010e5e21b547880736bb2,3,11,175.73333333333332,02:55:733,-16.596844901989368,-16.713261987552332,-16.475843879777038,-0.23741810777529437,0.15041978657245636,0.14792746305465698,0.15296818315982819,-0.005040720105171204,0.9991734442218579,1837.9068511412686
DITB,09 Tiny Montgomery.flac,9bb313d752c909d968606956cd5d992c,1,9,175.44,02:55:440,-21.258177869099598,-18.423057193130347,-17.82063471565992,-0.6024224774704265,0.08942543715238571,0.11252590268850327,0.13096140325069427,-0.01843550056219101,-0.027010164290570557,1638.1900352919845
FTR,17. Tiny Montgomery.flac,e24be16d2cdae80b57596900cd605b1b,4,17,171.82666666666665,02:51:827,-22.119966212962897,-17.19000412446531,-22.49287788472802,5.30287376026271,0.07743573188781738,0.12864550948143005,0.08514656871557236,0.0434989407658577,-0.017638879076026993,1874.4392757320434
FTR,06. Tiny Montgomery.flac,095350d40afdd064a1ec1d8ff62749ce,7,6,173.50666666666666,02:53:507,-22.407897782934793,-24.01795010451981,-20.900753819309884,-3.117196285209925,0.08014503866434097,0.0660507082939148,0.0953841358423233,-0.02933342754840851,0.9759691183004727,628.1876517463816
