label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,18 - Bob Dylan - You Ain't Goin' Nowhere (Take 2).wav,16221df3494960cd9c6ac3badfa27afe,3,18,165.58666666666667,02:45:587,-18.031392595179216,-17.70441099057832,-18.15489903120583,0.45048804062750847,0.12565025687217712,0.13261544704437256,0.12087557464838028,0.011739872395992279,0.9550335076273683,2321.8316386042775
CAR,03-18-Bob_Dylan-You_Ain_t_Goin_Nowhere_Take_2-SMR.flac,a2e0474b1f4a6b1ca8c560b613d243dc,3,18,165.58632653061224,02:45:586,-18.031608396974274,-17.702162465831886,-18.15273461167042,0.4505721458385352,0.1256447285413742,0.13260941207408905,0.12087005376815796,0.011739358305931091,0.955033854037177,2214.4149777785105
ATWR,25 You Ain't Going Nowhere - Take 2.flac,6ea00dd92a20550b24e171e5344258f3,3,25,166.09333333333333,02:46:093,-22.21056686154974,-17.599725300665853,-20.82276953176813,3.2230442311022784,0.07330919802188873,0.11304491013288498,0.08914194256067276,0.02390296757221222,-0.07588554454143863,2264.233393555622
MUTM,08 You Ain't Going Nowhere.flac,1979579aad01620fedb490bbfed5a243,1,8,163.85333333333332,02:43:853,-18.371988117303406,-17.25989058135773,-13.632886311067521,-3.627004270290209,0.11186575144529343,0.13180164992809296,0.17650623619556427,-0.044704586267471313,-0.07692276771276103,2135.984850240452
SBD,08 You Ain't Going Nowhere.flac,48e05cc7c543839ae6828734452dc290,2,8,165.32,02:45:320,-18.839513262097263,-14.208832660702212,-17.457942045845126,3.249109385142914,0.10927174240350723,0.16973485052585602,0.1317039579153061,0.03803089261054993,-0.07719508302065238,2215.4442928030408
RSD,08 You Ain't Goin' Nowhere.flac,079ddac644de299bc4433f07699ee8f3,1,1,165.85133786848073,02:45:851,-21.104541608813644,-21.104541608813644,-21.104541608813644,0.0,0.08775448054075241,0.08775448054075241,0.08775448054075241,0.0,1.0,2365.4873327232026
TGBT,13 You Ain't Going Nowhere.flac,152825d93fc850706ed989ca7ad622f5,3,13,154.10666666666665,02:34:107,-13.531040749009932,-13.580430331362333,-13.479646961465942,-0.1007833698963907,0.21521684527397156,0.21356095373630524,0.21692050993442535,-0.003359556198120117,0.9995398126683401,1990.072302280509
CBST,Dylan & Band - Safety Tape_Track08.flac,26b51386f50c7ca8ad26b414ab9da24e,1,8,161.92,02:41:920,-18.861611854367858,-17.06440450442103,-14.45628016439395,-2.6081243400270804,0.10912618786096573,0.13769300282001495,0.16396307945251465,-0.026270076632499695,-0.0771162146007248,1770.9434317537805
FTR,20. You Ain't Going Nowhere.flac,ad035069f5990e1d9a1b4b3ccee70625,4,20,161.73333333333332,02:41:733,-30.075061360252267,-27.034274279300924,-26.434001902141205,-0.6002723771597189,0.027032623067498207,0.04009786248207092,0.03216305747628212,0.007934805005788803,-0.04999336060761265,1803.8521421221612
FTR,08. You Ain't Going Nowhere.flac,7af783208ba903d73126d2612e16de5f,7,8,165.76,02:45:760,-19.13374930737637,-18.780454053873857,-19.15964383265513,0.37918977878127436,0.11388049274682999,0.11717623472213745,0.1138131320476532,0.003363102674484253,0.957582898744031,1283.026404362614
