label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,18 - Bob Dylan - You Ain't Goin' Nowhere (Take 2).wav,16221df3494960cd9c6ac3badfa27afe,3,18,0.9577308120133488,02:45:587,0.7279771373645949,0.6934719419093702,0.6390980414578494,0.45048804062750847,0.5240483641422228,0.5333560234246272,0.48015663775292616,0.011739872395992279,0.9550335076273683,0.9596699585406352
CAR,03-18-Bob_Dylan-You_Ain_t_Goin_Nowhere_Take_2-SMR.flac,a2e0474b1f4a6b1ca8c560b613d243dc,3,18,0.9577024358130345,02:45:586,0.7279640932684753,0.6936390707058046,0.6392651219142148,0.4505721458385352,0.5240189869142167,0.5333212323331052,0.48012675598009985,0.011739358305931091,0.955033854037177,0.8604362051446102
ATWR,25 You Ain't Going Nowhere - Take 2.flac,6ea00dd92a20550b24e171e5344258f3,3,25,1.0,02:46:093,0.47536778897375664,0.7012530407772896,0.4331541320328051,3.2230442311022784,0.24591102490843494,0.42053353899879486,0.3083983045138555,0.02390296757221222,-0.07588554454143863,0.9064594975072848
MUTM,08 You Ain't Going Nowhere.flac,1979579aad01620fedb490bbfed5a243,1,8,0.8131256952169071,02:43:853,0.7073899094997589,0.7265123436667208,0.9881708236107979,-3.627004270290209,0.4507983048903929,0.5286645521128028,0.7812576802658776,-0.044704586267471313,-0.07692276771276103,0.7879808162403263
SBD,08 You Ain't Going Nowhere.flac,48e05cc7c543839ae6828734452dc290,2,8,0.9354838709677414,02:45:320,0.6791304461093328,0.9532919861586351,0.6928990210166489,3.249109385142914,0.43701389187546924,0.747346234328224,0.5387652790978753,0.03803089261054993,-0.07719508302065238,0.8613871078493287
RSD,08 You Ain't Goin' Nowhere.flac,079ddac644de299bc4433f07699ee8f3,1,1,0.9798112793504499,02:45:851,0.5422212630309944,0.4407463542340134,0.4114029851531732,0.0,0.3226724151540768,0.27473635869220203,0.30088866416397747,0.0,1.0,1.0
TGBT,13 You Ain't Going Nowhere.flac,152825d93fc850706ed989ca7ad622f5,3,13,0.0,02:34:107,1.0,1.0,1.0,-0.1007833698963907,1.0,1.0,1.0,-0.003359556198120117,0.9995398126683401,0.653183758778926
CBST,Dylan & Band - Safety Tape_Track08.flac,26b51386f50c7ca8ad26b414ab9da24e,1,8,0.6518353726362618,02:41:920,0.6777947011420195,0.7410424718362728,0.9246096615848091,-2.6081243400270804,0.4362404235111459,0.5626277015604707,0.7133678248031255,-0.026270076632499695,-0.0771162146007248,0.45074793427429094
FTR,20. You Ain't Going Nowhere.flac,ad035069f5990e1d9a1b4b3ccee70625,4,20,0.6362625139043374,02:41:733,0.0,0.0,0.0,-0.6002723771597189,0.0,0.0,0.0,0.007934805005788803,-0.04999336060761265,0.48114968782138823
FTR,08. You Ain't Going Nowhere.flac,7af783208ba903d73126d2612e16de5f,7,8,0.9721913236929914,02:45:760,0.6613454075027464,0.6134915981905471,0.5615376529977099,0.37918977878127436,0.46150452286081345,0.4443502746477488,0.4419311561457522,0.003363102674484253,0.957582898744031,0.0
