label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,18 - Bob Dylan & The Band - Apple Suckling Tree (Take 1).wav,d7cc4a23ff0245f96cbde907957caead,4,18,0.9709373720835033,02:40:547,0.8138553152079123,0.4441945275232467,0.5669324870766025,-0.6739672420611313,0.7337380097774794,0.3529196066086277,0.5794841922580105,-0.007223151624202728,0.9076006660941861,0.8910082169067562
CAR,04-18-Bob_Dylan-Apple_Suckling_Tree_Take_1-SMR.flac,ec8401e9da37015e91c5cef2186f87eb,4,18,0.9664242692574365,02:40:400,0.8147574346635651,0.44464194282260633,0.5678177056453599,-0.6742695449552016,0.7351403332748916,0.35355558932719655,0.5805038390280599,-0.007233276963233948,0.9076008620773457,0.8017782321345324
ATWR,25 Apple Suckling Tree - Take 1.flac,1355e15cee3bc91c1a08059663dea803,4,25,0.9304134261154314,02:39:227,0.7411575413432994,0.8686235372195672,0.29507180876501876,4.8961520866155315,0.7305592171676617,0.815775428236469,0.36242722052992454,0.09758470952510834,0.17346277802782756,1.0
MUTM,15 Apple Suckling Tree.flac,fea7ed58a1843432a7af4589b4c1c6e8,1,15,0.911584117887843,02:38:613,0.798066270700203,0.9247878204777898,0.29489360017537297,5.444631249610936,0.6937804141902906,0.8189320249234711,0.2957477620932075,0.10592492669820786,0.12841159008896,0.9111472114097208
TGBT,2-06 Apple Suckling Tree (Version 1).flac,354cc20f68d81b34db50802e2adc55d3,2,6,1.0,02:41:493,0.9435033948088156,1.0,0.34355494121608227,5.921476727903256,0.912130508479554,1.0,0.36573645399011173,0.1288088783621788,0.17248277316615865,0.965350655603997
CBST,Dylan & Band - Safety Tape_Track15.flac,d875cffc34b7ba5c529d705cd9cad70d,1,15,0.9246827670896435,02:39:040,0.7654164809862382,0.8961376874158885,0.32744464120223227,4.993816278700253,0.6890512434514612,0.8012056186361564,0.3249173296823277,0.09947168081998825,0.12994642108059157,0.6712218844349653
DITB,08 Apple Suckling Tree.flac,4b5dade86fa06b0b46cb4943b4a103a2,1,8,0.8825214899713463,02:37:667,0.5798141515648507,0.594896765884802,0.5573359241465071,0.8457775573843911,0.5581515565711573,0.5045737608823082,0.5335097552854122,0.02417626976966858,0.2797333445327416,0.4941512224177426
FTR,23. Apple Suckling Tree.flac,0d63392ffa06cc03f322152d61ed1364,5,23,0.9316414244781009,02:39:267,0.0,0.4523600963733225,0.044682000317848636,2.157313993608387,2.2655715036975666e-05,0.20740865374177722,0.0,0.03558279573917389,0.0945103159591829,0.74532387054582
FTR,11. Apple Suckling Tree.flac,92ae564ba876ddd4826975c7f89e7d6f,9,11,0.712239050347933,02:32:120,0.1302845852000443,0.0005717559815572524,3.0771804591660076e-05,-2.0118651153613847,0.26929529211910697,0.08778320053841644,0.29031164204601306,-0.01889754831790924,0.9945169958267142,0.20498068951768333
FTR,21. Apple Suckling Tree.flac,f34d04b14dbff3ca6b00b32dd53d4f61,10,21,0.0,02:08:920,1.0,0.3306178881793195,1.0,-4.062996365219943,0.8520496033361892,0.2447460107249083,0.8692320536021032,-0.0596725270152092,0.966815012830469,0.0
FTR,24. Apple Suckling Tree.flac,4d3d027a96dd4c33ebfe4cd6e3d57f42,10,24,0.7015963978714697,02:31:773,0.9754001053845335,0.3038904555981647,0.9997095917618518,-4.322029411789222,1.0,0.296622522307375,1.0,-0.06606512516736984,0.9616658544657363,0.13339186727162963
CB,23 Apple Suckling Tree - 1.flac,10a98889f9f00210db3364cfac6345d5,5,23,0.9316414244781009,02:39:267,4.0529066464827455e-05,0.2327161136783799,0.45512160427680176,-2.1465317031735935,0.0,0.0,0.3042452432038466,-0.03558994084596634,0.09450962144413387,0.7447364406116335
CB,22D Apple Suckling Tree T1.flac,98934af68d8332741e68a2add074d282,7,24,0.712239050347933,02:32:120,0.12970998299354358,0.0,0.0,-2.0172769765204315,0.2693204651358147,0.0877937083432839,0.29033049844011116,-0.018897950649261475,0.9945170364302927,0.20490392146665795
CB,21 Apple Suckling Tree - 1.flac,afa03a090cc8e38b08cc3e4b8c0a4403,9,25,0.06835857552189992,02:11:147,0.7323190672943065,0.21227336211225076,0.7302099528007192,-3.7952340146800694,0.5919922023317579,0.1606376761251384,0.6376926067582463,-0.04702475666999817,0.9611969202334484,0.1427659779003408
CB,24 Apple Suckling Tree - 4.flac,1b2c53e2f25a3e48e4ab7bd65cd390c5,9,26,0.6884977486696684,02:31:347,0.7405589707543412,0.19361819963329563,0.7747555467394819,-4.211806854412334,0.7722964518026934,0.22379670437029156,0.7957726385185295,-0.05467569828033447,0.9557121015429506,0.20117029036738354
