,BS11,CAR,ATWR,MUTM,TGBT,CBST,DITB,FTR,FTR,FTR,FTR,CB,CB,CB,CB
BS11,1.0000001,0.99999917,0.99773186,0.99648273,0.99703944,0.99666953,0.9711292,0.96951747,0.97717094,0.95100206,0.97161615,0.9696013,0.9771865,0.9602549,0.97533387
CAR,0.99999917,1.0000001,0.99770814,0.99639,0.99703306,0.9965873,0.9709006,0.96927124,0.97695875,0.9508622,0.9716286,0.96935546,0.9769744,0.9600975,0.9753374
ATWR,0.99773186,0.99770814,0.9999999,0.9957939,0.9997963,0.9962296,0.9750466,0.9765399,0.97887516,0.94316024,0.96955603,0.9766226,0.97889125,0.95535594,0.9741633
MUTM,0.99648273,0.99639,0.9957939,1.0000001,0.99403054,0.9998441,0.98268044,0.9822008,0.9884202,0.9555066,0.96903586,0.98225045,0.9884321,0.9661907,0.97364676
TGBT,0.99703944,0.99703306,0.9997963,0.99403054,0.99999994,0.99456453,0.9715139,0.973339,0.97525626,0.9383535,0.96702546,0.97343016,0.97527325,0.9508134,0.9717475
CBST,0.99666953,0.9965873,0.9962296,0.9998441,0.99456453,1.0,0.9826947,0.98215383,0.9885293,0.9560531,0.97101057,0.9822022,0.9885418,0.9667803,0.97563654
DITB,0.9711292,0.9709006,0.9750466,0.98268044,0.9715139,0.9826947,1.0,0.9901972,0.996299,0.9668364,0.9725846,0.9901453,0.99629825,0.9796867,0.97614795
FTR,0.96951747,0.96927124,0.9765399,0.9822008,0.973339,0.98215383,0.9901972,1.0000001,0.98721045,0.9391262,0.9598259,0.9999998,0.9872186,0.9556185,0.96546483
FTR,0.97717094,0.97695875,0.97887516,0.9884202,0.97525626,0.9885293,0.996299,0.98721045,1.0,0.97465,0.9751566,0.98716384,1.0000001,0.98515415,0.97848445
FTR,0.95100206,0.9508622,0.94316024,0.9555066,0.9383535,0.9560531,0.9668364,0.9391262,0.97465,0.9999998,0.97762674,0.93903345,0.9746407,0.99815744,0.975907
FTR,0.97161615,0.9716286,0.96955603,0.96903586,0.96702546,0.97101057,0.9725846,0.9598259,0.9751566,0.97762674,1.0000001,0.9598032,0.97516257,0.98331666,0.9996396
CB,0.9696013,0.96935546,0.9766226,0.98225045,0.97343016,0.9822022,0.9901453,0.9999998,0.98716384,0.93903345,0.9598032,0.99999994,0.9871721,0.9555316,0.9654484
CB,0.9771865,0.9769744,0.97889125,0.9884321,0.97527325,0.9885418,0.99629825,0.9872186,1.0000001,0.9746407,0.97516257,0.9871721,1.0,0.98514664,0.9784918
CB,0.9602549,0.9600975,0.95535594,0.9661907,0.9508134,0.9667803,0.9796867,0.9556185,0.98515415,0.99815744,0.98331666,0.9555316,0.98514664,1.0000001,0.98269004
CB,0.97533387,0.9753374,0.9741633,0.97364676,0.9717475,0.97563654,0.97614795,0.96546483,0.97848445,0.975907,0.9996396,0.9654484,0.9784918,0.98269004,1.0000002
