label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,06 - Bob Dylan & The Band - Tiny Montgomery.wav,027f4d21dff62da148547552d629b790,2,6,0.9731800766283524,02:56:560,0.8265047726601055,0.6268671056568522,0.5429211356748015,-0.04669130485188333,0.7713222444773433,0.5063265792935696,0.391798742574407,0.01197969913482666,0.9001335752028022,1.0
CAR,02-06-Bob_Dylan-Tiny_Montgomery-SMR.flac,a39afb49b297c55130feea2556afb9bc,2,6,0.9729867681427614,02:56:556,0.8264864077238988,0.6270704654138367,0.5431336722523427,-0.04657364687716736,0.7712487058163275,0.506295671683054,0.39174915185730774,0.011980980634689331,0.9001273623542996,0.9251880086156181
ATWR,25 Tiny Montgomery.flac,96d0acdf4df991cd59c4c53b90d19ddd,2,25,0.84610472541507,02:53:907,0.6881659206600301,0.7656321758810859,0.8114439662763342,-1.1940515083188465,0.6097380669008292,0.7194875518176519,0.6766158042846981,0.010222360491752625,-0.05176535666377315,0.9571778531136645
MUTM,20 Tiny Montgomery.flac,31bba4ad93f409d5ecf901838f4b9b69,1,20,1.0,02:57:120,0.9175326059140657,1.0,0.8379883504258933,1.1126095693481304,0.8621682293632132,0.817983849161759,0.9941163984404683,-0.013603121042251587,-0.05402223800457219,0.9343069821524739
SBD,17 Tiny Montgomery.flac,6b8e2ea5c9480cfae495767be024edd2,1,17,0.8888888888888892,02:54:800,1.0,0.9451414515024477,1.0,-1.09959884361753,1.0,1.0,1.0,0.01427614688873291,-0.05219803188732479,0.9400394980256647
RSD,06 Tiny Montgomery.flac,02a1feed3afd835d3f45423edb4be86e,1,1,0.9806876134872842,02:56:717,0.38090447527834365,0.35914227729026504,0.2428359618634854,0.0,0.2927680532574724,0.21586700019075494,0.11980846428081153,0.0,1.0,0.8743813473623049
TGBT,11 Tiny Montgomery.flac,d73a5fa8499010e5e21b547880736bb2,3,11,0.9335887611749673,02:55:733,0.9503890542434367,0.6660034323798318,0.605287622953367,-0.23741810777529437,0.9478508326318132,0.5209407594018866,0.5478367764878374,-0.005040720105171204,0.9991734442218579,0.8582494807425792
DITB,09 Tiny Montgomery.flac,9bb313d752c909d968606956cd5d992c,1,9,0.9195402298850571,02:55:440,0.1880349816016308,0.5101132071782282,0.4700074753339167,-0.6024224774704265,0.15571143816462985,0.29569837168089236,0.37007451787621976,-0.01843550056219101,-0.027010164290570557,0.7188481531742639
FTR,17. Tiny Montgomery.flac,e24be16d2cdae80b57596900cd605b1b,4,17,0.7464878671775215,02:51:827,0.0470907799462147,0.6225365663809103,0.0,5.30287376026271,0.0,0.3982593516379706,0.0,0.0434989407658577,-0.017638879076026993,0.8837489283759049
FTR,06. Tiny Montgomery.flac,095350d40afdd064a1ec1d8ff62749ce,7,6,0.8269476372924643,02:53:507,0.0,0.0,0.16016080185201576,-3.117196285209925,0.03518602378395116,0.0,0.08269510862804452,-0.02933342754840851,0.9759691183004727,0.013871596670023556
FTR,20. Tiny Montgomery.flac,49d1861b10389d027526343fd4daf272,8,20,0.0,02:36:240,0.8649625808616962,0.4637276246831843,0.6937163995144208,-3.335019206694666,0.9153912547050229,0.34058603484178906,0.7392275752311942,-0.05708122253417969,0.9943492542499237,0.0
FTR,19. Tiny Montgomery.flac,bd856818962ae9579f80266cd2e17f55,9,19,0.6462324393358867,02:49:733,0.22623106071816534,0.16888716642206905,0.25002372893642394,-2.1581593808047472,0.14647527262523344,0.07447150830277019,0.11802500395251256,-0.02200247347354889,0.9985173802399147,0.34225419871402163
